departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
VALLE DEL CAUCA,0,2023-02-09,NO,2023.0
ATLÁNTICO,28500000,2022-11-17,SI,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-08,NO,2026.0
ANTIOQUIA,0,2024-10-31,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-09-13,NO,2024.0
SUCRE,0,2025-04-02,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-06-02,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-09-15,NO,2023.0
SANTANDER,0,2025-02-24,NO,2025.0
NORTE DE SANTANDER,0,2020-09-11,NO,2020.0
NO DEFINIDO,0,2019-06-27,NO,2019.0
DISTRITO CAPITAL DE BOGOTÁ,0,2019-01-15,NO,2019.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-10-19,NO,2020.0
SUCRE,0,2024-01-15,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-08-01,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-02-09,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-07-30,NO,2018.0
ATLÁNTICO,0,2025-12-09,NO,2025.0
PUTUMAYO,0,2026-02-23,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-03-18,NO,2021.0
CUNDINAMARCA,0,2022-12-30,NO,2022.0
CUNDINAMARCA,0,2023-12-14,NO,2023.0
ARAUCA,0,2025-08-21,NO,2025.0
HUILA,0,2021-02-10,NO,2021.0
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",0,2025-11-18,NO,2025.0
